State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.30796	4.14257	3.98506	3.94568	3.59916	3.48102	3.46527	3.27626	3.15812	2.94548	2.75647	2.69346	2.89035	2.94548	2.96911	2.78797	2.85097	2.90610	2.86672	3.04786	3.02424
2	3.52042	3.41488	3.46011	3.17365	3.33196	3.23396	3.06058	3.09073	3.05304	3.09073	3.06812	2.89473	2.61581	2.66104	2.72889	2.95504	2.91735	2.92489	3.06812	3.05304	3.09827
3	4.13065	3.90737	3.59106	3.29335	3.21893	3.33057	3.14450	3.14450	2.99565	2.30721	1.84205	1.50713	1.39549	1.30246	1.46992	1.52573	1.46992	1.45131	1.54434	1.76762	1.73041
4	1.23762	1.24699	1.25011	1.26676	1.26000	1.27249	1.25532	1.25636	1.22877	1.19807	1.16892	1.16788	1.16216	1.15851	1.16216	1.14290	1.13769	1.12989	1.12312	1.12468	1.13926
5	0.71024	0.70777	0.70688	0.70106	0.70229	0.69576	0.70035	0.69947	0.70777	0.72383	0.73743	0.74061	0.73990	0.74220	0.73973	0.74238	0.74591	0.74891	0.75174	0.74891	0.74873
6	0.25433	0.25446	0.25421	0.25483	0.25483	0.25483	0.25508	0.25508	0.25533	0.25633	0.25633	0.25620	0.25695	0.25695	0.25783	0.25832	0.25895	0.25932	0.25945	0.25982	0.25982
7	1.03813	1.04619	1.04837	1.05554	1.05784	1.06834	1.07551	1.07922	1.08729	1.10432	1.12314	1.14221	1.16782	1.18395	1.20353	1.22197	1.23925	1.25769	1.26857	1.28214	1.30160
8	3.64606	3.64959	3.65817	3.68190	3.66978	3.65262	3.62183	3.60315	3.56428	3.52895	3.47241	3.42648	3.36540	3.32148	3.26040	3.18317	3.12310	3.04839	2.99337	2.93280	2.85910
9	1.08436	1.07471	1.04927	1.01505	1.02821	1.02119	0.99049	0.96417	0.97557	0.98084	0.96241	0.97382	0.97382	0.94750	0.94837	0.96592	0.95978	0.95452	0.96768	0.96329	0.96329
10	0.75188	0.75048	0.73364	0.71120	0.67753	0.66491	0.69717	0.71401	0.68034	0.64106	0.62142	0.57934	0.57513	0.56952	0.53305	0.53445	0.51622	0.53726	0.54287	0.54708	0.57233
11	3.67408	3.38216	3.22111	3.20098	3.19091	3.22111	2.92919	2.76814	2.69768	2.59702	2.45609	2.32524	2.10379	2.00313	2.02326	2.13398	2.28497	2.31517	2.29504	2.20445	2.07359
12	1.87071	1.85306	1.92366	1.95013	1.91483	1.95895	2.09132	2.12661	2.10896	2.16191	2.21485	2.25897	2.20603	2.17073	2.05602	1.94131	1.86189	1.74718	1.80894	1.91483	1.84424
13	1.36494	1.35186	1.31697	1.27772	1.33877	1.37802	1.44343	1.57862	1.62223	1.65711	1.61787	1.68328	1.67892	1.57426	1.66584	1.62659	1.48704	1.56554	1.56554	1.50885	1.58298
14	1.07822	1.10072	1.17761	1.25824	1.26574	1.23386	1.29949	1.35950	1.39888	1.36137	1.42888	1.41763	1.37825	1.44763	1.40825	1.43638	1.46263	1.44200	1.45138	1.51701	1.41950
15	2.28137	2.30779	2.36945	2.24614	2.40028	2.41790	2.51039	2.50158	2.65573	2.62930	2.68215	2.64692	2.65132	2.57205	2.49717	2.46194	2.46635	2.40469	2.28137	2.14044	2.15805
