State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.57402	5.40124	6.59688	8.66145	11.74787	17.51754	27.27035	40.90901	54.46424	56.20905	55.41659	75.87457	74.74844	63.43155	44.43337	28.04196	18.03889	11.99117	8.57108	6.26321	4.51146
2	4.28500	4.99695	6.32770	8.69643	12.49571	18.07819	25.92959	33.02913	36.67537	43.30914	47.92683	29.55588	27.30026	26.22901	23.88024	18.79014	13.57361	9.94733	6.95315	5.03688	3.88578
3	3.30103	3.56380	4.17145	5.04187	6.91410	8.83559	12.15304	16.16026	21.82621	27.88630	31.69645	32.53402	27.98484	23.23859	18.13102	13.92673	10.49432	7.96517	5.92871	4.68056	3.92510
4	1.60918	1.62525	1.62755	1.65328	1.64455	1.64087	1.61699	1.56232	1.45942	1.35836	1.30232	1.28670	1.40751	1.50536	1.61147	1.69921	1.74699	1.77087	1.77133	1.75939	1.73183
5	0.86536	0.84557	0.82702	0.79632	0.76655	0.72493	0.66336	0.59385	0.52527	0.48069	0.45450	0.45482	0.47243	0.50267	0.52979	0.55130	0.57171	0.58995	0.61551	0.63110	0.64793
6	0.21315	0.21216	0.21161	0.21039	0.20984	0.20819	0.20610	0.20423	0.20049	0.19817	0.19630	0.19630	0.19608	0.19685	0.19905	0.20159	0.20302	0.20456	0.20599	0.20775	0.20764
7	1.38378	1.36864	1.33903	1.29767	1.22411	1.10704	0.93054	0.71664	0.54092	0.45606	0.42194	0.41855	0.44589	0.49527	0.55968	0.63098	0.69415	0.73404	0.76014	0.78093	0.79562
8	0.73248	0.70129	0.66476	0.62243	0.59392	0.55783	0.52129	0.48743	0.46159	0.44109	0.43708	0.44377	0.46070	0.48253	0.50570	0.54446	0.59792	0.65451	0.72401	0.79753	0.86614
9	1.42792	1.36210	1.28311	1.15844	0.98653	0.79294	0.63420	0.53198	0.45842	0.43674	0.41738	0.40422	0.43442	0.47391	0.66595	1.03222	1.52007	1.99707	2.36025	2.61269	2.81634
10	1.71855	1.60464	1.41272	1.15643	0.87165	0.65869	0.52993	0.46802	0.42592	0.42097	0.42221	0.42716	0.42592	0.46183	0.54231	0.91127	1.68264	2.63601	3.53243	4.23817	4.67152
11	8.12063	9.42668	10.92819	12.82064	14.39323	14.05561	10.45730	6.10380	3.80266	2.62099	2.33668	2.78091	5.33971	15.96582	33.92183	46.56477	47.85305	42.98423	36.93374	31.28307	26.77852
12	1.82253	1.89263	2.00167	2.18860	2.28985	2.58581	2.72601	2.67149	2.65591	2.32879	2.11071	2.14186	2.04840	1.94715	2.13408	2.52351	2.71822	2.90515	2.97524	3.00640	3.04534
13	1.89760	2.03616	2.11699	2.23631	2.42107	2.69436	3.06772	3.35255	3.31406	2.79828	2.41337	2.28635	1.83216	1.56273	1.38567	1.37412	1.37027	1.24710	1.19706	1.12008	1.20476
14	1.55084	1.63360	1.78256	1.80573	1.87856	1.91000	1.77925	1.62532	1.47967	1.54753	1.54919	1.27609	1.18010	1.12879	1.14865	1.19499	1.19830	1.20658	1.15693	1.15362	1.06589
15	1.52384	1.51607	1.58215	1.55494	1.44221	1.25950	1.27116	1.17787	1.00682	1.03404	0.99127	0.87854	0.82412	0.88632	0.98739	1.14288	1.45776	1.73376	1.82317	1.88148	2.11472
