State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.44147	65.36527	9.78895	1.71617	2.75675	55.41134	25.77057	0.20568
2	0.46122	44.10434	5.95164	1.20417	3.06844	47.92830	18.21983	0.38161
3	0.18686	65.02831	7.00995	1.15593	1.84224	31.69742	13.82370	0.96288
4	6.68045	1.68009	1.14719	0.91852	1.16904	1.30236	1.71635	1.24979
5	19.68880	0.24367	0.60446	0.84405	0.73751	0.45452	0.69031	1.49287
6	27.87372	0.11391	0.17678	0.40381	0.25636	0.19631	0.21889	1.29286
7	27.15795	0.35960	0.93256	1.06357	1.12312	0.42195	0.84782	0.75627
8	6.88771	0.63391	4.03618	2.16872	3.47227	0.43710	0.61680	0.31511
9	3.96302	0.32556	1.20669	2.24562	0.96163	0.41739	1.05882	0.24763
10	2.47855	0.08583	0.92537	2.31015	0.62149	0.42222	1.25982	0.15111
11	0.34540	1.37524	2.79089	2.24986	2.45635	2.33675	15.75457	0.15957
12	0.39401	0.68325	2.11465	2.05223	2.21508	2.11078	2.36270	0.15392
13	0.79728	1.36199	1.28213	1.00919	1.61804	2.41345	2.06878	0.45686
14	1.85413	0.91382	1.15787	1.03937	1.42903	1.54924	1.52210	0.58446
15	0.78943	0.37325	2.48636	2.14853	2.68243	0.99131	1.31963	0.18478
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
