State (Emission order)	H3k79me2StdAlnRep1	H4k20me1StdAlnRep1	H3k36me3StdAlnRep1	H3k4me1StdAlnRep1	H3k27acStdAlnRep1	H3k9acStdAlnRep1	H3k4me2StdAlnRep1	H3k4me3StdAlnRep1	H2azStdAlnRep1	H3k27me3AlnRep1
1	0.22546073994534716	0.04312525425083261	0.0027555426704631582	0.07432669404025107	0.7641540083845263	0.9617429465739749	0.8400042513449306	0.9338722279140401	0.8230519500402027	0.0020988763974167223
2	0.026196821933014945	0.03740769873740912	0.009385950518404185	0.10780905984318877	0.06507843732324785	0.16111895534740503	0.5460876999255097	0.2921689753027888	0.6163348689676571	0.011626277526127741
3	0.0028955994103699754	0.031772350509180154	0.006488635586095559	0.0765838379626622	0.013142103015014022	0.048661957002464284	0.29620420076029225	0.17558708542127427	0.672532549989547	0.6348463756002456
4	3.447981825366714E-4	0.03154635675195549	0.0017359537377976313	0.002228825618817967	2.132498568485745E-4	0.002645616846691347	3.7257332516913376E-4	0.001499370064384786	0.005572602381985177	0.6033592988412618
5	1.1364889282548361E-4	0.025759325743613448	0.0010499762072546423	0.0012619933915701165	1.532301093045525E-4	0.002027144815847289	5.027182728836951E-4	0.0011155469313738186	0.004129049868072495	0.10587879621594296
6	4.180974082557599E-5	0.014025130745127044	3.0776836605140765E-4	1.2329691393487492E-4	9.826106449221212E-5	0.0010113542068003732	1.6444811796401611E-4	5.962965942025744E-4	0.0014758634431686598	0.0015591340352982387
7	0.001419260159442071	0.031546516631594294	0.0057101231556437055	0.0017742265878528225	2.5239218950621656E-32	0.00282044062823123	5.925626382437216E-4	0.001625258919020965	0.006122290455905708	0.004211424206167072
8	0.018571187795504176	0.07286598752172577	0.12150026340856507	0.004639796748509648	0.001524169382243224	0.004059798332933997	6.897718204019278E-4	0.0018057365379559505	5.912899692381686E-4	1.5575866689831642E-4
9	0.265400280572608	0.11956000354309544	0.038943799667520554	0.006345935961516185	3.162654708129635E-4	0.003294403259428696	0.00209539049115181	0.0018375776862509753	0.0011294395150994745	9.30056088262591E-4
10	0.8542291526883234	0.36332672026056384	0.043373588540752926	0.03326206357433311	0.006845201593357955	0.0056778679948865495	0.009687149867249773	0.002805993079730652	0.0010342091168176585	1.4320069038475784E-4
11	0.8856808319551642	0.33016070236831563	0.0344931788301672	0.26704120435518836	0.24612859277611923	0.38706594206801814	0.9049570836151648	0.4113780950142764	0.03254634783166663	7.931277356764385E-4
12	0.15596467123963426	0.1698085747667329	0.04950266946490065	0.7093087500429869	0.9853442484932144	0.8577361282835076	0.6150591142968331	0.16548328885922553	0.09955294170493255	3.161245474788977E-5
13	2.1744413263993025E-4	0.08239244328127669	0.004091757640037252	0.6045210047656195	0.9395071198372393	0.6526443572294361	0.4848469946197192	0.09835680913928997	0.3570898313734383	0.001182062604703571
14	0.001265228608968534	0.06827169445165963	0.0057671783218329374	0.2942692358073732	0.15097838301882133	0.06918111923213299	0.10762083490083536	0.016026373272441868	0.13551125954463245	0.0038181436078931837
15	0.1862638880082992	0.16864887122568614	0.0829869268777142	0.38798365810673874	0.41423884663707966	0.13240797772332036	0.13479313632344417	0.01960370989451552	0.021005672432613344	2.2534987859798846E-4
