15	10	E	-1.0964127587098528E7	200
probinit	1	0.0
probinit	2	0.0
probinit	3	1.92335507E-316
probinit	4	5.362584037101814E-31
probinit	5	0.044680774165123775
probinit	6	0.9553192258348763
probinit	7	2.354346482631847E-24
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	0.0
probinit	13	0.0
probinit	14	1.502655038291705E-191
probinit	15	0.0
transitionprobs	1	1	0.738689032178583
transitionprobs	1	2	0.16817671784407895
transitionprobs	1	3	2.0659001260956922E-4
transitionprobs	1	4	0.0
transitionprobs	1	5	0.0
transitionprobs	1	6	0.0
transitionprobs	1	7	0.002906799739000491
transitionprobs	1	8	0.0
transitionprobs	1	9	0.0012534348550223724
transitionprobs	1	10	0.0
transitionprobs	1	11	0.06382414555171947
transitionprobs	1	12	0.007707810428004007
transitionprobs	1	13	0.014308334460246874
transitionprobs	1	14	0.002027047967783221
transitionprobs	1	15	9.000869629520254E-4
transitionprobs	2	1	0.1518400685489428
transitionprobs	2	2	0.6132052336525943
transitionprobs	2	3	0.00787704095527067
transitionprobs	2	4	0.0
transitionprobs	2	5	0.030170817922179245
transitionprobs	2	6	0.004080849065032411
transitionprobs	2	7	0.13546400501179318
transitionprobs	2	8	0.006970504396990732
transitionprobs	2	9	0.01569504440462546
transitionprobs	2	10	0.0
transitionprobs	2	11	0.006492017940240805
transitionprobs	2	12	0.0
transitionprobs	2	13	0.0017355390939405332
transitionprobs	2	14	0.0252678124478449
transitionprobs	2	15	0.0012010665605450958
transitionprobs	3	1	0.0
transitionprobs	3	2	0.01917514066834018
transitionprobs	3	3	0.6949128900092157
transitionprobs	3	4	0.20435802266495612
transitionprobs	3	5	0.06407031474046963
transitionprobs	3	6	0.0025197631773999103
transitionprobs	3	7	0.00666688035990758
transitionprobs	3	8	0.0
transitionprobs	3	9	1.5190323679125918E-4
transitionprobs	3	10	0.0
transitionprobs	3	11	0.0
transitionprobs	3	12	0.0
transitionprobs	3	13	7.462065381395962E-4
transitionprobs	3	14	0.007398878604780049
transitionprobs	3	15	0.0
transitionprobs	4	1	0.0
transitionprobs	4	2	0.0
transitionprobs	4	3	0.006124718103872378
transitionprobs	4	4	0.922034541830449
transitionprobs	4	5	0.07072281652506535
transitionprobs	4	6	0.0
transitionprobs	4	7	0.0
transitionprobs	4	8	7.22870110609317E-6
transitionprobs	4	9	0.0
transitionprobs	4	10	0.0
transitionprobs	4	11	0.0
transitionprobs	4	12	0.0
transitionprobs	4	13	1.524613807570054E-5
transitionprobs	4	14	0.0010954487014313348
transitionprobs	4	15	0.0
transitionprobs	5	1	0.0
transitionprobs	5	2	7.916778906601884E-4
transitionprobs	5	3	6.986672447164012E-4
