State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.738689032178583	0.16817671784407895	2.0659001260956922E-4	0.0	0.0	0.0	0.002906799739000491	0.0	0.0012534348550223724	0.0	0.06382414555171947	0.007707810428004007	0.014308334460246874	0.002027047967783221	9.000869629520254E-4
2	0.1518400685489428	0.6132052336525943	0.00787704095527067	0.0	0.030170817922179245	0.004080849065032411	0.13546400501179318	0.006970504396990732	0.01569504440462546	0.0	0.006492017940240805	0.0	0.0017355390939405332	0.0252678124478449	0.0012010665605450958
3	0.0	0.01917514066834018	0.6949128900092157	0.20435802266495612	0.06407031474046963	0.0025197631773999103	0.00666688035990758	0.0	1.5190323679125918E-4	0.0	0.0	0.0	7.462065381395962E-4	0.007398878604780049	0.0
4	0.0	0.0	0.006124718103872378	0.922034541830449	0.07072281652506535	0.0	0.0	7.22870110609317E-6	0.0	0.0	0.0	0.0	1.524613807570054E-5	0.0010954487014313348	0.0
5	0.0	7.916778906601884E-4	6.986672447164012E-4	0.02620460014715584	0.9601925128751516	9.932553391736295E-4	0.007220281329765829	0.0	0.0	0.0	0.0	0.0	0.0	0.0038990051733765003	0.0
6	7.41120814793961E-7	7.598336738799887E-5	2.2566490350304266E-5	0.0	6.764011710921527E-4	0.9989820351004979	2.4087323946708224E-4	0.0	1.399510389865737E-6	0.0	0.0	0.0	0.0	0.0	0.0
7	0.0	0.00259297353669135	4.6061083904462356E-5	0.0	0.005240977850468094	2.5668435677865683E-4	0.9711558783909673	0.0019179543199986484	5.172123946393616E-4	0.0	0.0	0.0	5.009270936050757E-4	0.017771330972947152	0.0
8	0.0	4.1216189023543363E-4	1.5435341994237765E-6	8.711889015079874E-6	0.0	0.0	0.007410735847109252	0.9756737536139467	0.00741715217865531	0.0	2.825022090839054E-7	0.0	0.0	0.0	0.009075658544629724
9	1.1970989443571113E-4	0.0019167426018399849	0.0	0.0	7.56047524357749E-6	1.2124250511135744E-7	0.003567143735429994	0.013038682873599307	0.9263889247110128	0.034417812112883514	0.002234157408508155	1.8792472067878454E-4	0.0	0.0	0.018121220223862873
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05515821154984537	0.9232906415986415	0.01407492503801875	0.0	0.0	0.0	0.0074762218134942745
11	0.08058721902178424	0.007196378381025138	0.0	0.0	0.0	0.0	0.0	7.538607423195654E-4	0.023449582374787194	0.10181920188731151	0.7661634287499818	0.007364473615596434	0.0	0.0	0.012665855227194241
12	0.007765294618909333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015942679371053882	0.0	0.006150185324862052	0.7981050314598093	0.005610315707898308	0.0	0.1807749049514158
13	0.007976414809060351	0.0012473404414195283	2.166172707280835E-4	2.3066205214869814E-4	0.0	0.0	0.017149282074991667	0.0	0.0	0.0	0.0	0.002989319675927531	0.7421246674497342	0.2234848675781524	0.004580828647837704
14	5.902832247243462E-4	0.005219601510810784	8.103549518949281E-4	0.0031818194986719898	0.033304866948275606	4.754863687225319E-6	0.20824522290880973	0.0	0.0	0.0	0.0	0.0	0.08095321570768421	0.6669096099472924	7.802704381487059E-4
15	7.141023883600608E-4	0.0013440499542200332	0.0	0.0	0.0	0.0	0.0	0.07528079355629605	0.08486049148892631	0.022992942319719024	0.00472965972530913	0.0852434604923092	0.004556410535224204	0.00214955399452435	0.7181285355451117
